BACKEND — ASP.NET Core + PostGIS · WP2 (BE1 – Mỹ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mã,Nhóm,Công việc,Kết quả cần đạt,Người phụ trách,Tuần,Bắt đầu,Kết thúc,Ưu tiên,Trạng thái,% hoàn thành,Phụ thuộc,Nguồn gốc,Ghi chú,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21
BE-10,GIS Tài sản,"Quy ước SRID: lưu và trả EPSG:4326, tính khoảng cách trên EPSG:3405","Hàm tính khoảng cách trả kết quả mét đúng, có unit test đối chiếu",BE1 – Mỹ,W2,14/09/2026,20/09/2026,Cao,Chưa bắt đầu,0%,BE-09,SỬA,"CHỐT: EPSG:3405 chỉ dùng nội bộ, KHÔNG BAO GIỜ trả ra API. FE không reproject.",,,,,,,,,,,,,,,,,,,,,,
BE-11,GIS Tài sản,Lưu trữ ảnh (MinIO): tách SurveyFrame và RepairEvidence,"Hai luồng ảnh riêng, sinh thumbnail, chặn file sai định dạng",BE1 – Mỹ,W3,21/09/2026,27/09/2026,Cao,Chưa bắt đầu,0%,BE-02,GIỮ,"Ảnh khảo sát là dữ liệu chính, không phải file đính kèm — cần tính dung lượng",,,,,,,,,,,,,,,,,,,,,,
BE-12,GIS Tài sản,API CRUD tài sản + import kiểm kê từ CSV,"Import file FO-10, báo lỗi theo từng dòng",BE1 – Mỹ,W3–W4,21/09/2026,04/10/2026,Cao,Chưa bắt đầu,0%,BE-09,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-13,GIS Tài sản,API topology: gán cột vào tuyến và vào feeder,Truy vấn được 'tất cả cột trên feeder X' phục vụ clustering,BE1 – Mỹ,W4,28/09/2026,04/10/2026,Cao,Chưa bắt đầu,0%,BE-12,GIỮ,Đầu vào bắt buộc cho CV-15,,,,,,,,,,,,,,,,,,,,,,
BE-14,GIS Tài sản,"API bản đồ theo bbox: GET /poles, /segments, /iot-nodes","Trả FeatureCollection GeoJSON, properties phẳng; bbox BẮT BUỘC; >2000 cột trả 413 BBOX_TOO_LARGE; dưới 500ms",BE1 – Mỹ,W4,28/09/2026,04/10/2026,Cao,Chưa bắt đầu,0%,BE-13,SỬA,Đặc tả đầy đủ ở API Contract v1.0 mục 2.1–2.3. FE đã code sẵn theo mock — sai schema là FE phải sửa lại.,,,,,,,,,,,,,,,,,,,,,,
BE-15,Khảo sát,"Entity SurveySweep, SurveyFrame + upload hàng loạt",Nộp được một sweep gồm nhiều trăm khung hình kèm metadata,BE1 – Mỹ,W5–W6,05/10/2026,18/10/2026,Cao,Chưa bắt đầu,0%,BE-11,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-16,Khảo sát,Validate metadata phơi sáng — từ chối frame thiếu thông số,Frame không đủ ISO/shutter/aperture/GPS/heading bị từ chối kèm lý do rõ,BE1 – Mỹ,W6,12/10/2026,18/10/2026,Cao,Chưa bắt đầu,0%,BE-15,GIỮ,"BẮT BUỘC — không sửa được sau khi chụp, phải chặn ngay lúc nhận",,,,,,,,,,,,,,,,,,,,,,
BE-17,Khảo sát,API trạng thái xử lý sweep + độ phủ tuyến,"Biết được sweep đã xử lý đến đâu, đoạn nào chưa có ảnh",BE1 – Mỹ,W6–W7,12/10/2026,25/10/2026,Trung bình,Chưa bắt đầu,0%,BE-15,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-18,Sự cố,"Entity Fault, FaultType, FaultHistory + ghi vết kiểm toán",Mọi phát hiện tự động và mọi quyết định của kỹ sư đều có bản ghi,BE1 – Mỹ,W7–W8,19/10/2026,01/11/2026,Cao,Chưa bắt đầu,0%,BE-09,SỬA,Enum fault_type/fault_status/severity/source_channel theo Contract v1.0. Fault do ENGINE sinh (cv/iot) hoặc do field_report (manual).,,,,,,,,,,,,,,,,,,,,,,
BE-19,Sự cố,API duyệt sự cố: PATCH /faults/{id} xác nhận / phân loại lại / bác bỏ,"Chuyển trạng thái sai luồng trả 409 để FE disable nút trước, không để user bấm rồi lỗi",BE1 – Mỹ,W8,26/10/2026,01/11/2026,Cao,Chưa bắt đầu,0%,BE-18,SỬA,Luồng hợp lệ ghi rõ ở Contract v1.0 mục 2.5,,,,,,,,,,,,,,,,,,,,,,
BE-20,Sự cố,API lịch sử tình trạng của một cột (GET /poles/{id}),"Trả GỘP trong 1 request: fixture, current_status, iot_node, luminance_baseline, luminance_history, runtime_history, open_faults, recent_frames",BE1 – Mỹ,W8–W9,26/10/2026,08/11/2026,Cao,Chưa bắt đầu,0%,BE-18,SỬA,CHỐT: không bắt FE gọi 4 lần. luminance_history phải có baseline_ratio và classified_as sẵn.,,,,,,,,,,,,,,,,,,,,,,
BE-21,Quy trình,"Entity WorkOrder, ExternalUnit + tính hạn SLA theo loại sự cố",Xác nhận sự cố là sinh ngay work order kèm due_at,BE1 – Mỹ,W9–W10,02/11/2026,15/11/2026,Cao,Chưa bắt đầu,0%,BE-19,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-22,Quy trình,Máy trạng thái + chặn chuyển trạng thái sai luồng,Không thể chuyển thẳng từ Mới sang Đã đóng,BE1 – Mỹ,W10,09/11/2026,15/11/2026,Cao,Chưa bắt đầu,0%,BE-21,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-23,Quy trình,API gán việc cho tổ sửa chữa / đơn vị bên ngoài,"Gán và gỡ gán được, ghi lịch sử",BE1 – Mỹ,W10–W11,09/11/2026,22/11/2026,Cao,Chưa bắt đầu,0%,BE-22,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-24,Quy trình,"API cập nhật tiến độ, nghiệm thu, đóng việc kèm ảnh before/after","POST /work-orders/{id}/evidence multipart: file, kind=before|after, captured_at, lat, lng",BE1 – Mỹ,W11,16/11/2026,22/11/2026,Cao,Chưa bắt đầu,0%,BE-23,SỬA,FM-18 cần endpoint thật trước khi test tích hợp,,,,,,,,,,,,,,,,,,,,,,
BE-25,Quy trình,API việc trong ngày của tổ sửa chữa,"Mở app thấy đúng việc được gán, gom theo địa lý",BE1 – Mỹ,W11–W12,16/11/2026,29/11/2026,Cao,Chưa bắt đầu,0%,BE-23,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-26,Quy trình,Hangfire: cảnh báo quá hạn + phát hiện node ngừng báo cáo,"Job chạy đúng giờ, không gửi trùng",BE1 – Mỹ,W12,23/11/2026,29/11/2026,Cao,Chưa bắt đầu,0%,BE-21,SỬA,Thêm nhánh giám sát node IoT,,,,,,,,,,,,,,,,,,,,,,
BE-27,Quy trình,Module Notification: thông báo trong ứng dụng,Đổi trạng thái là tổ sửa chữa nhận được thông báo,BE1 – Mỹ,W12,23/11/2026,29/11/2026,Trung bình,Chưa bắt đầu,0%,BE-26,SỬA,Chốt tên bảng/entity cùng FE2-Ngọc trước W16 (FM-21 phụ thuộc),,,,,,,,,,,,,,,,,,,,,,
BE-28,Dashboard,"API thống kê: tỉ lệ đèn theo tình trạng, tỉ lệ khắc phục đúng hạn",Số liệu khớp khi đối chiếu thủ công,BE1 – Mỹ,W13,30/11/2026,06/12/2026,Cao,Chưa bắt đầu,0%,BE-24,SỬA,"Trạng thái unknown phải đếm RIÊNG, không gộp vào out",,,,,,,,,,,,,,,,,,,,,,
BE-29,Dashboard,API bản đồ nhiệt điểm tối + phân tích vùng chưa phủ sáng,Trả dữ liệu mật độ và danh sách nút giao/cầu chưa có đèn,BE1 – Mỹ,W13–W14,30/11/2026,13/12/2026,Cao,Chưa bắt đầu,0%,BE-14,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-30,Dashboard,API so sánh tỉ lệ hỏng theo địa bàn / loại đèn / nhà cung cấp / năm lắp,Lọc được theo nhiều chiều,BE1 – Mỹ,W14,07/12/2026,13/12/2026,Trung bình,Chưa bắt đầu,0%,BE-28,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-31,Dashboard,API theo dõi warranty sắp hết hạn,"Danh sách đèn sắp hết bảo hành, xuất được báo cáo",BE1 – Mỹ,W14,07/12/2026,13/12/2026,Trung bình,Chưa bắt đầu,0%,BE-28,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-32,Dashboard,Tối ưu truy vấn thống kê + thêm index,Dashboard tải dưới 2 giây với dữ liệu thật,BE1 – Mỹ,W15,14/12/2026,20/12/2026,Trung bình,Chưa bắt đầu,0%,BE-30,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-33,Quản trị,"API quản trị danh mục: loại đèn, loại sự cố, ngưỡng, trọng số ưu tiên",Sửa trọng số chấm điểm và ngưỡng dim_threshold_ratio không cần deploy lại,BE1 – Mỹ,W15–W16,14/12/2026,27/12/2026,Cao,Chưa bắt đầu,0%,BE-08,SỬA,"Ngưỡng mặc định theo Contract: dim 0.80, out 0.15",,,,,,,,,,,,,,,,,,,,,,
BE-34,Quản trị,"API quản trị node IoT, phiên bản firmware, phiên bản model AI",Truy được kết quả nào do model phiên bản nào sinh ra,BE1 – Mỹ,W16,21/12/2026,27/12/2026,Cao,Chưa bắt đầu,0%,BE-33,GIỮ,Bắt buộc cho khả năng tái lập kết quả nghiên cứu,,,,,,,,,,,,,,,,,,,,,,
BE-35,Quản trị,Giám sát job xử lý và dung lượng lưu trữ ảnh,"Biết được job nào lỗi, còn bao nhiêu dung lượng",BE1 – Mỹ,W16–W17,21/12/2026,03/01/2027,Trung bình,Chưa bắt đầu,0%,BE-34,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-36,Hoàn thiện,Test tích hợp với PostGIS thật (Testcontainers),"Test chạy xanh, phủ các truy vấn không gian và truy vấn bbox",BE1 – Mỹ,W17–W18,28/12/2026,10/01/2027,Trung bình,Chưa bắt đầu,0%,BE-14,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-37,Hoàn thiện,Sửa lỗi tích hợp khi ghép với frontend và engine CV,Không còn lỗi chặn luồng chính,BE1 – Mỹ,W18–W20,04/01/2027,24/01/2027,Cao,Chưa bắt đầu,0%,,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-38,Hoàn thiện,"Tài liệu API, README, hướng dẫn cài đặt",Người mới clone về chạy được trong 15 phút,BE1 – Mỹ,W20–W21,18/01/2027,31/01/2027,Cao,Chưa bắt đầu,0%,,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-39,Hoàn thiện,Dữ liệu mẫu và kịch bản demo,Demo chạy trơn không lỗi,BE1 – Mỹ,W20–W21,18/01/2027,31/01/2027,Cao,Chưa bắt đầu,0%,,SỬA,Dùng lại bộ mock GeoJSON ở FO-26 làm seed để demo khớp với những gì FE đã dựng,,,,,,,,,,,,,,,,,,,,,,
BE-40,Sự cố,"API danh sách sự cố GET /faults (phân trang, KHÔNG phải GeoJSON)","Lọc bbox/status/severity/fault_type/source_channel/cluster_id, sắp mặc định -priority_score, mỗi item có location{lat,lng}",BE1 – Mỹ,W8,26/10/2026,01/11/2026,Cao,Chưa bắt đầu,0%,BE-18,MỚI,MỚI v2.0 — Contract mục 2.4. Trước đây không có task riêng cho endpoint này.,,,,,,,,,,,,,,,,,,,,,,
BE-41,Sự cố,Endpoint POST /faults nguồn field_report cho mobile,"Tổ khảo sát báo sự cố phát sinh tại chỗ, không bắt buộc gắn Pole có sẵn",BE1 – Mỹ,W13,30/11/2026,06/12/2026,Cao,Chưa bắt đầu,0%,BE-18,MỚI,MỚI v2.0 — GIẢI QUYẾT cảnh báo liên WP ở FM-19: sheet Backend trước đây thiếu hẳn task này.,,,,,,,,,,,,,,,,,,,,,,
BE-42,Khảo sát,Entity LuxReading + API nhập số đo lux từ hiện trường,"Lưu được số đo lux kèm pole_id, thời điểm đo, người đo; truy vấn theo cột phục vụ CV-12",BE1 – Mỹ,W4,28/09/2026,04/10/2026,Cao,Chưa bắt đầu,0%,BE-09,MỚI,MỚI v2.0 — GIẢI QUYẾT cảnh báo ở FM-14: entity lux_reading trước đây chưa có tên chính thức. ĐẨY LÊN W4 để kịp FO-14 ở W5.,,,,,,,,,,,,,,,,,,,,,,
BE-43,Nền tảng,API đồng bộ offline: GET /sync/bundle + POST /sync/push,Gói dữ liệu theo segment cho mobile cache; khử trùng lặp theo client_op_id; trả conflicts[] khi xung đột,BE1 – Mỹ,W14–W15,07/12/2026,20/12/2026,Cao,Chưa bắt đầu,0%,BE-25,MỚI,MỚI v2.0 — Contract mục 3. FM-20 (offline đầy đủ) phụ thuộc trực tiếp; trước đây không có task backend tương ứng.,,,,,,,,,,,,,,,,,,,,,,
